ISIN,Name
150818,Canara Robeco Mid Cap Fund- Direct Plan- IDCW
150816,Canara Robeco Mid Cap Fund- Regular Plan- Growth Option
150819,Canara Robeco Mid Cap Fund- Regular Plan- IDCW
119071,DSP Midcap Fund - Direct Plan - Growth
119070,DSP Midcap Fund - Direct Plan - IDCW
104481,DSP Midcap Fund - Regular Plan - Growth
104482,DSP Midcap Fund - Regular Plan - IDCW
140228,Edelweiss Mid Cap Fund - Direct Plan - Growth Option
140227,Edelweiss Mid Cap Fund - Direct Plan - IDCW Option
140225,Edelweiss Mid Cap Fund - Regular Plan - Growth Option
140226,Edelweiss Mid Cap Fund - Regular Plan - IDCW Option
118533,Franklin India Prima Fund - Direct - Growth
118532,Franklin India PRIMA FUND - Direct - IDCW 
100472,Franklin India PRIMA FUND - IDCW 
100473,Franklin India Prima Fund-Growth
118989,HDFC Mid-Cap Opportunities Fund - Growth Option - Direct Plan
105758,HDFC Mid-Cap Opportunities Fund - Growth Plan
118988,HDFC Mid-Cap Opportunities Fund - IDCW Option - Direct Plan
105757,HDFC Mid-Cap Opportunities Fund - IDCW Plan
151036,HSBC Midcap Fund - Direct Growth
151035,HSBC Midcap Fund - Direct IDCW
151034,HSBC Midcap Fund - Regular Growth
151033,HSBC Midcap Fund - Regular IDCW
120381,ICICI Prudential MidCap Fund - Direct Plan -  Growth
120380,ICICI Prudential MidCap Fund - Direct Plan -  IDCW
102528,ICICI Prudential MidCap Fund - Growth
102529,ICICI Prudential MidCap Fund - IDCW
120403,Invesco India Midcap Fund - Direct Plan - Growth Option
120402,Invesco India Midcap Fund - Direct Plan - IDCW (Payout / Reinvestment)
105503,Invesco India Midcap Fund - Growth Option
105504,Invesco India Midcap Fund - IDCW (Payout / Reinvestment)
148733,ITI Mid Cap Fund - Direct Plan - Growth Option
148731,ITI Mid Cap Fund - Direct Plan - IDCW Option
148732,ITI Mid Cap Fund - Regular Plan - Growth Option
148734,ITI Mid Cap Fund - Regular Plan - IDCW Option
150815,JM Midcap Fund (Direct) - Growth
150814,JM Midcap Fund (Direct) - IDCW
150812,JM Midcap Fund (Regular) - Growth
150813,JM Midcap Fund (Regular) - IDCW
104908,Kotak Emerging Equity Scheme - Growth
119775,Kotak Emerging Equity Scheme - Growth - Direct
104907,Kotak Emerging Equity Scheme - Payout of Income Distribution cum capital withdrawal option
119774,Kotak Emerging Equity Scheme - Payout of Income Distribution cum capital withdrawal option - Direct
